"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"scPS5",1,3,8,12,14,2,2,10,25,42,3,5,11,25,49,1,5,21,39,52,0,6,19,31,51,0,9,20,65,76,0,4,26,69,95,0,6,32,86,99,0,2,37,86,100,0,2,32,81,100
"SCSE5",100,99,96,89,29,100,100,98,92,66,100,100,99,93,66,100,100,100,89,73,100,100,100,96,71,100,100,100,94,72,100,100,100,99,83,100,100,100,100,88,100,100,100,100,88,100,100,100,100,92
"AddModuleScore5",100,99,99,94,41,100,100,97,95,60,100,100,99,92,56,100,100,94,88,55,100,100,96,90,54,100,100,100,85,68,100,100,90,89,80,100,100,95,75,83,100,100,87,70,81,100,100,94,72,79
"ssGSEA6",9,17,42,87,88,7,22,51,87,84,15,24,52,83,76,16,22,67,65,87,11,28,61,80,85,11,32,41,75,74,5,22,42,72,76,3,31,32,72,72,0,21,27,61,74,0,16,36,50,73
"JASMINE6",97,98,98,75,42,100,99,95,91,43,100,100,93,97,63,100,100,96,94,82,100,100,98,89,72,100,100,100,94,78,100,100,100,99,88,100,100,100,99,92,100,100,100,100,97,100,100,100,99,95
"AUCell6",100,100,99,86,61,100,97,99,95,69,100,100,94,98,75,100,100,94,95,81,100,100,99,88,76,100,100,100,83,88,100,100,100,96,87,100,100,100,100,88,100,100,100,99,86,100,100,100,99,80
"UCell6",45,38,42,51,38,69,61,60,51,34,87,70,56,49,50,91,86,64,45,71,98,81,58,55,63,100,85,55,59,72,100,95,58,48,88,100,100,64,49,89,100,100,65,35,97,100,100,75,31,99
"scPS6",0,2,6,16,33,2,10,15,27,30,0,5,15,29,43,1,3,24,44,54,0,11,24,47,62,0,15,33,66,80,0,10,44,73,93,0,5,47,88,96,0,8,58,86,99,0,9,48,85,99
"SCSE6",100,99,96,85,42,100,99,96,90,41,100,100,98,91,58,100,100,100,92,74,100,100,100,87,67,100,100,100,95,74,100,100,100,99,82,100,100,100,99,89,100,100,100,100,91,100,100,100,100,94
"AddModuleScore6",100,98,99,89,52,100,98,97,90,39,100,100,94,96,51,100,100,91,93,68,100,100,96,90,61,100,100,92,78,68,100,100,90,80,78,100,100,86,72,86,100,99,75,72,85,100,100,78,67,78
"ssGSEA7",4,15,47,89,95,3,10,37,76,83,4,9,44,81,83,1,15,53,70,83,6,17,62,75,86,1,17,52,75,74,0,16,31,48,78,1,8,26,65,77,0,8,28,56,75,0,5,32,59,78
"JASMINE7",98,96,95,66,25,100,100,94,84,44,100,99,93,91,60,100,100,94,87,65,100,100,100,92,61,100,100,99,91,77,100,100,100,99,90,100,100,100,100,89,100,100,100,99,94,100,100,100,100,96
"AUCell7",100,100,98,86,54,100,100,94,90,68,100,100,94,92,77,100,100,92,90,77,100,100,99,91,85,100,100,99,84,85,100,100,100,97,92,100,100,100,95,90,100,100,100,98,86,100,100,100,98,89
"UCell7",41,37,43,37,21,59,49,37,43,39,75,62,48,47,49,81,56,49,35,48,94,78,61,47,49,99,85,54,53,78,100,94,53,36,91,100,98,47,49,92,100,100,50,49,98,100,100,54,40,99
"scPS7",4,7,9,15,19,5,9,27,32,33,2,7,22,36,42,7,19,32,46,59,4,11,30,55,61,3,23,45,64,91,8,33,59,96,98,4,44,77,97,100,3,39,70,97,100,0,38,71,97,100
"SCSE7",100,98,96,78,26,100,100,96,83,43,100,100,99,91,56,100,100,99,84,62,100,100,100,93,60,100,100,100,92,72,100,100,100,100,88,100,100,100,100,88,100,100,100,99,90,100,100,100,100,93
"AddModuleScore7",100,98,98,95,50,100,100,96,92,46,100,100,96,93,48,100,100,93,90,51,100,100,96,90,51,100,100,88,80,68,100,98,84,78,82,100,100,77,75,84,100,100,67,68,83,100,99,64,72,87
"ssGSEA8",11,21,64,87,88,21,32,61,92,91,31,40,76,83,85,40,46,71,76,80,50,59,69,77,90,65,74,59,66,84,95,71,59,75,85,99,75,55,58,73,100,81,59,75,82,100,74,59,64,83
