"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"SCSE7",1,3,0,1,0,0,3,2,0,0,3,2,0,0,2,3,3,1,3,2,1,3,2,1,1,10,6,4,0,0,10,8,3,1,3,22,17,6,0,5,22,15,15,0,3,20,22,11,0,3
"AddModuleScore7",7,6,1,4,4,3,8,5,1,2,8,9,9,2,2,8,18,9,5,4,5,20,17,2,2,19,66,56,5,1,40,99,84,18,4,79,100,96,13,4,91,100,100,18,0,96,100,100,29,1
"ssGSEA8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE8",18,11,8,5,1,31,30,10,2,6,49,45,18,3,8,67,63,37,4,14,67,65,43,3,16,96,94,66,8,35,99,100,96,16,55,100,100,99,28,73,100,100,100,40,84,100,100,100,44,96
"AUCell8",3,3,4,1,1,6,5,3,4,1,10,7,3,5,2,8,10,3,2,3,13,13,5,0,5,41,31,5,0,14,73,51,25,2,19,95,75,35,2,24,100,96,62,7,41,100,99,66,3,58
"UCell8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS8",37,27,19,18,1,51,53,28,16,3,71,63,40,15,1,59,73,54,17,6,75,64,61,14,4,88,83,78,26,0,93,88,88,51,2,91,93,95,72,1,97,94,93,71,0,98,92,96,80,0
"SCSE8",6,5,4,5,0,12,6,3,0,2,14,13,3,3,1,12,10,3,1,6,16,13,6,1,2,45,39,12,2,8,77,64,31,3,6,95,84,47,4,13,100,93,61,6,15,100,100,67,8,19
"AddModuleScore8",3,4,3,7,0,0,4,3,1,2,7,14,7,3,2,4,13,6,1,4,2,27,23,1,2,14,82,47,4,0,38,100,95,12,0,75,100,100,22,2,90,100,100,35,0,98,100,100,42,2
"ssGSEA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE9",39,28,8,1,1,62,46,13,6,1,74,65,37,7,3,87,69,36,4,4,89,82,49,7,5,99,96,77,12,11,100,99,94,16,34,100,100,100,29,49,100,100,100,40,68,100,100,100,49,70
"AUCell9",12,15,4,4,2,25,15,5,2,2,35,20,13,2,9,45,40,12,3,6,46,44,20,3,11,80,67,34,6,20,100,95,64,8,59,100,99,91,9,83,100,100,99,15,94,100,100,100,24,96
"UCell9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS9",58,44,33,14,4,81,81,57,35,5,89,86,73,26,4,83,89,82,36,2,90,91,89,34,1,98,95,93,70,5,100,99,96,90,3,100,100,99,93,4,100,99,99,100,2,99,100,100,98,1
"SCSE9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AddModuleScore9",4,4,2,1,4,9,12,5,3,3,8,24,21,1,3,6,44,33,3,3,14,64,40,5,0,23,93,76,16,3,45,100,100,32,1,67,100,100,43,2,92,100,100,58,6,97,100,100,73,1
